Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
3/16/2023,51.3795,10.4218,Germany,1.8,PV,operating,2012,,Western Europe,Europe,L822023,G825054,2.931
3/16/2023,50.5556,6.4641,Germany,1.2,PV,operating,2010,,Western Europe,Europe,L822025,G825056,2.97
3/16/2023,50.9294,14.8676,Germany,2.1,PV,operating,2010,,Western Europe,Europe,L822024,G825055,3.001
3/16/2023,50.9342,14.8627,Germany,5,PV,operating,2011,,Western Europe,Europe,L822026,G825057,3.006
3/16/2023,50.5729,6.6007,Germany,3.5,PV,operating,2011,,Western Europe,Europe,L822028,G825059,3.021
3/16/2023,48.8139,12.7796,Germany,1.1,PV,operating,2012,,Western Europe,Europe,L822027,G825058,3.215
3/16/2023,49.1324,10.0195,Germany,1.6,PV,operating,2020,,Western Europe,Europe,L822030,G825061,3.152
3/16/2023,50.4638,10.6587,Germany,4.3,PV,operating,2012,,Western Europe,Europe,L822031,G825062,2.941
3/16/2023,51.4734,12.7036,Germany,1.2,PV,operating,2010,,Western Europe,Europe,L822033,G825064,3.016
3/16/2023,51.4737,12.705,Germany,1.2,PV,operating,2010,,Western Europe,Europe,L822034,G825065,3.016
3/16/2023,50.4122,6.5477,Germany,3,PV,operating,2011,,Western Europe,Europe,L822035,G825066,2.934
3/16/2023,51.0578,12.1884,Germany,1.1,PV,operating,2012,,Western Europe,Europe,L822036,G825067,3.042
3/16/2023,51.3293,13.9484,Germany,2.7,PV,operating,2012,,Western Europe,Europe,L822037,G825068,2.945
3/16/2023,50.9694,10.9739,Germany,2,PV,operating,2012,,Western Europe,Europe,L822038,G825069,3.03
3/16/2023,48.2943,7.7315,Germany,1.6,PV,operating,2005,,Western Europe,Europe,L822039,G825070,3.251
3/16/2023,50.8757,12.88,Germany,1,PV,operating,2005,,Western Europe,Europe,L822040,G825071,3.033
3/16/2023,50.8369,10.6933,Germany,3.2,PV,operating,2011,,Western Europe,Europe,L822041,G825072,2.973
3/16/2023,52.2049,7.9082,Germany,1.2,PV,operating,2012,,Western Europe,Europe,L822042,G825073,2.814
3/16/2023,51.7209,11.9403,Germany,3.5,PV,operating,2011,,Western Europe,Europe,L822050,G825081,3.028
3/16/2023,53.7371,14.0459,Germany,4,PV,pre-construction,2023,,Western Europe,Europe,L822065,G825096,2.872
3/16/2023,51.5106,14.3256,Germany,4.7,PV,operating,2012,,Western Europe,Europe,L820634,G823649,2.991
3/16/2023,51.5106,14.3256,Germany,3.8,PV,operating,2013,,Western Europe,Europe,L820635,G823650,2.991
3/16/2023,49.2562,10.6546,Germany,1.8,PV,operating,2012,,Western Europe,Europe,L820636,G823651,3.128
