Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Installation_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
1/26/2023,47.3563,6.6862,France,9,onshore,construction,,,Western Europe,Europe,L919828,G924348,409.11456
3/24/2023,47.7118,-2.3338,France,6.9,onshore,pre-construction,,,Western Europe,Europe,L919851,G924371,348.61447
2/14/2023,46.1967,-0.2243,France,8,onshore,announced,,,Western Europe,Europe,L919872,G924393,375.1494
3/1/2023,47.6227,4.2344,France,7,onshore,operating,2018,,Western Europe,Europe,L919911,G924432,352.36447
3/1/2023,47.6227,4.2344,France,7,onshore,operating,2018,,Western Europe,Europe,L919911,G924433,352.36447
3/28/2023,46.3692,1.3442,France,9.6,onshore,shelved,,,Western Europe,Europe,L919920,G924443,465.98538
1/19/2023,46.0829,0.2829,France,6.2,onshore,construction,2024,,Western Europe,Europe,L919922,G924445,358.071
1/19/2023,46.0247,-0.7755,France,6.2,onshore,construction,2024,,Western Europe,Europe,L919922,G924446,347.9587
1/19/2023,46.0809,0.3756,France,6.2,onshore,construction,2024,,Western Europe,Europe,L919922,G924447,396.66437
1/19/2023,46.0676,0.2512,France,6.2,onshore,construction,2024,,Western Europe,Europe,L919922,G924448,345.88104
1/19/2023,46.0258,0.3246,France,6.2,onshore,construction,2024,,Western Europe,Europe,L919922,G924449,366.26413
1/19/2023,45.6678,5.5155,France,6.2,onshore,construction,2024,,Western Europe,Europe,L919922,G924450,128.68202
2/17/2023,45.5822,0.0431,France,9,onshore,pre-construction,,,Western Europe,Europe,L919928,G924457,322.72488
2/13/2023,50.4154,2.5504,France,9.2,onshore,operating,2009,,Western Europe,Europe,L908652,G924483,558.17566
2/13/2023,50.4154,2.5504,France,9.2,onshore,operating,2009,,Western Europe,Europe,L908652,G924484,558.17566
2/13/2023,50.4154,2.5504,France,4.6,onshore,operating,2009,,Western Europe,Europe,L908652,G924485,558.17566
2/28/2023,42.7412,2.5379,France,9,onshore,pre-construction,,,Western Europe,Europe,L919995,G924530,717.6033
