Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
2/13/2023,46.0635,13.2358,Italy,241.5,PV,operating,,,Southern Europe,Europe,L823940,G827006,3.683
2/13/2023,45.8397,8.7541,Italy,149.5,PV,operating,,,Southern Europe,Europe,L823961,G827027,3.868
2/13/2023,45.4372,12.3346,Italy,193.1,PV,operating,,,Southern Europe,Europe,L823966,G827032,3.781
2/13/2023,46.1156,8.3836,Italy,17.3,PV,operating,,,Southern Europe,Europe,L823969,G827035,3.031
2/13/2023,45.5554,8.3463,Italy,66.9,PV,operating,,,Southern Europe,Europe,L823970,G827036,3.907
2/13/2023,45.4385,10.9924,Italy,360.2,PV,operating,,,Southern Europe,Europe,L823974,G827040,3.794
2/13/2023,38.6267,16.0987,Italy,29.9,PV,operating,,,Southern Europe,Europe,L823984,G827050,4.102
2/13/2023,45.6349,11.4064,Italy,299.3,PV,operating,,,Southern Europe,Europe,L823985,G827051,3.629
2/13/2023,42.4937,11.9451,Italy,142.3,PV,operating,,,Southern Europe,Europe,L824006,G827072,4.115
2/9/2023,46.0655,5.2848,France,50.4,PV,operating,2010,,Western Europe,Europe,L815950,G818863,3.499
2/9/2023,49.4533,3.6069,France,30.5,PV,operating,2013,,Western Europe,Europe,L815953,G818866,3.017
2/9/2023,46.3675,3.1639,France,109.7,PV,operating,2016,,Western Europe,Europe,L815967,G818880,3.442
2/9/2023,43.9211,7.1791,France,37.7,PV,operating,2010,,Western Europe,Europe,L815972,G818885,3.766
2/9/2023,44.1641,6.1879,France,62.6,PV,operating,2014,,Western Europe,Europe,L815971,G818884,4.178
2/9/2023,49.698,4.6716,France,27.9,PV,operating,2013,,Western Europe,Europe,L815984,G818897,2.997
2/9/2023,44.8152,4.3987,France,68.1,PV,operating,2012,,Western Europe,Europe,L815983,G818896,3.564
2/9/2023,42.9455,1.4066,France,45.4,PV,operating,2012,,Western Europe,Europe,L815987,G818900,3.452
2/9/2023,48.3202,4.1905,France,32.6,PV,operating,2012,,Western Europe,Europe,L816008,G818921,3.28
2/9/2023,43.0543,2.5125,France,82,PV,operating,2012,,Western Europe,Europe,L816010,G818923,3.621
2/9/2023,44.3159,2.5066,France,231.5,PV,operating,2014,,Western Europe,Europe,L816016,G818929,3.768
2/9/2023,48.5992,7.5337,France,118.3,PV,operating,2012,,Western Europe,Europe,L816035,G818948,3.182
2/9/2023,43.5424,5.0343,France,197,PV,operating,,,Western Europe,Europe,L816115,G819030,4.274
2/9/2023,49.0908,-0.2414,France,30.6,PV,operating,2013,,Western Europe,Europe,L816154,G819069,3.13
2/9/2023,45.0498,2.6997,France,119.9,PV,operating,2015,,Western Europe,Europe,L816157,G819072,3.599
2/9/2023,45.6668,0.0973,France,96.5,PV,operating,2014,,Western Europe,Europe,L816278,G819195,3.498
